0,1,2,3,4
2.8,5.38,14.5,100.0,FFA_W3-1.0.csv
11.0027,5.4525,14.432,86.0491,FFA_W3-0.8605.csv
16.871,5.866,12.546,61.097,FFA_W3-0.611.csv
22.9641,6.1845,8.8925,43.0356,FFA_W3-0.4304.csv
32.3076,6.02,6.3822,32.4151,FFA_W3-0.3242.csv
41.573,5.4219,4.6736,27.8103,FFA_W3-0.2781.csv
50.4111,4.6982,2.8866,25.318,FFA_W3-0.2532.csv
58.5344,3.9987,1.2072,24.2644,FFA_W3-0.2426.csv
65.7501,3.3981,-0.1304,24.1,FFA_W3-0.241.csv
71.9675,2.913,-1.1139,24.1,FFA_W3-0.241.csv
77.186,2.5359,-1.862,24.1,FFA_W3-0.241.csv
78.7133,2.4308,-2.0776,24.1,FFA_W3-0.241.csv
80.1402,2.3314,-2.2801,24.1,FFA_W3-0.241.csv
82.7085,2.1291,-2.6441,24.1,FFA_W3-0.241.csv
84.9252,1.9033,-2.9451,24.1,FFA_W3-0.241.csv
86.8265,1.626,-3.1773,24.1,FFA_W3-0.241.csv
88.4487,1.1836,-3.3575,24.1,FFA_W3-0.241.csv
89.166,0.6,-3.428,24.1,FFA_W3-0.241.csv
